1;2000;156800;78.4
2;4000;161200;40.3
3;6000;145900;24.3167
4;8000;208600;26.075
5;10000;248300;24.83
6;12000;110700;9.225
7;14000;158200;11.3
8;16000;115400;7.2125
9;18000;104300;5.79444
10;20000;100900;5.045
1;2000;148200;74.1
2;4000;147600;36.9
3;6000;202700;33.7833
4;8000;148800;18.6
5;10000;130000;13
6;12000;135200;11.2667
7;14000;120400;8.6
8;16000;175600;10.975
9;18000;246400;13.6889
10;20000;114700;5.735
1;2000;204100;102.05
2;4000;97200;24.3
3;6000;81400;13.5667
4;8000;231700;28.9625
5;10000;157300;15.73
6;12000;159500;13.2917
7;14000;168100;12.0071
8;16000;149200;9.325
9;18000;212800;11.8222
10;20000;128500;6.425
1;2000;137500;68.75
2;4000;192500;48.125
3;6000;145300;24.2167
4;8000;101200;12.65
5;10000;172000;17.2
6;12000;179800;14.9833
7;14000;144300;10.3071
8;16000;150200;9.3875
9;18000;175000;9.72222
10;20000;318700;15.935
1;2000;199800;99.9
2;4000;100900;25.225
3;6000;115000;19.1667
4;8000;139400;17.425
5;10000;237900;23.79
6;12000;250000;20.8333
7;14000;230400;16.4571
8;16000;163500;10.2188
9;18000;142100;7.89444
10;20000;146000;7.3
1;2000;149900;74.95
2;4000;148600;37.15
3;6000;250700;41.7833
4;8000;317900;39.7375
5;10000;130100;13.01
6;12000;152900;12.7417
7;14000;129400;9.24286
8;16000;139500;8.71875
9;18000;130900;7.27222
10;20000;126000;6.3
