1;2000;331100;165.55
2;4000;275300;68.825
3;6000;267700;44.6167
4;8000;256800;32.1
5;10000;253000;25.3
6;12000;291000;24.25
7;14000;345600;24.6857
8;16000;334500;20.9062
9;18000;254600;14.1444
10;20000;254500;12.725
1;2000;282500;141.25
2;4000;332900;83.225
3;6000;255900;42.65
4;8000;280600;35.075
5;10000;285700;28.57
6;12000;300400;25.0333
7;14000;287500;20.5357
8;16000;264100;16.5063
9;18000;1279800;71.1
10;20000;297000;14.85
1;2000;268300;134.15
2;4000;300200;75.05
3;6000;311000;51.8333
4;8000;372200;46.525
5;10000;296000;29.6
6;12000;271500;22.625
7;14000;265000;18.9286
8;16000;266600;16.6625
9;18000;293500;16.3056
10;20000;399100;19.955
1;2000;239200;119.6
2;4000;341200;85.3
3;6000;281200;46.8667
4;8000;283600;35.45
5;10000;318000;31.8
6;12000;292500;24.375
7;14000;251600;17.9714
8;16000;276300;17.2688
9;18000;276300;15.35
10;20000;335200;16.76
1;2000;283400;141.7
2;4000;244400;61.1
3;6000;325800;54.3
4;8000;266500;33.3125
5;10000;277000;27.7
6;12000;312800;26.0667
7;14000;306900;21.9214
8;16000;333100;20.8188
9;18000;371100;20.6167
10;20000;288800;14.44
1;2000;243400;121.7
2;4000;249200;62.3
3;6000;352200;58.7
4;8000;295200;36.9
5;10000;305700;30.57
6;12000;314000;26.1667
7;14000;488600;34.9
8;16000;288200;18.0125
9;18000;296000;16.4444
10;20000;251300;12.565
