pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;13265600;663.28
1;2000;1587500;793.75
2;4000;2645900;661.475
3;6000;4971800;828.633
4;8000;5398600;674.825
5;10000;8088900;808.89
6;12000;8494700;707.892
7;14000;12516900;894.064
8;16000;12946300;809.144
9;18000;11683700;649.094
10;20000;16619100;830.955
1;2000;1660100;830.05
2;4000;2639100;659.775
3;6000;4717500;786.25
4;8000;5538300;692.288
5;10000;6807700;680.77
6;12000;8041900;670.158
7;14000;13438100;959.864
8;16000;13921100;870.069
9;18000;14853700;825.206
10;20000;13655700;682.785
1;2000;1411300;705.65
2;4000;2983100;745.775
3;6000;6816500;1136.08
4;8000;6404200;800.525
5;10000;6666100;666.61
6;12000;8402100;700.175
7;14000;13237200;945.514
8;16000;11118000;694.875
9;18000;11401200;633.4
10;20000;13325300;666.265
